"seq","datelastmodified","institutioncode","collectioncode","catalognumber","basisofrecord","kingdom","phylum","class","ordem","family","genus","species","subspecies","scientificname","scientificnameauthor","identifiedby","yearidentified","monthidentified","dayidentified","typestatus","collector","collectornumber","fieldnumber","yearcollected","monthcollected","daycollected","julianday","timeofday","continentocean","country","stateprovince","county","locality","longitude","latitude","coordinateprecision","boundingbox","minimumelevation","maximumelevation","minimumdepth","maximumdepth","sex","preparationtype","individualcount","previouscatalognumber","relationshiptype","relatedcatalogitem","notes","barcode","geoflag"
11,2018-12-21 16:46:39,"UNESP-IBILCE","SJRP-PTERIDOPHYTA","01388","S","Plantae","Pteridophyta","Filicopsida","Polypodiales","Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd.",NA,NA,NA,NA,NA,"A. Klein","43",NA,1985,"05","30",NA,NA,"América do Sul","Brasil","São Paulo","Mogi Guaçu","reserva do IBT do SP",-46.9421997070312,-22.372200012207,39309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEOGRAFIA: terrestre, em terreno úmido, junto ao riacho;",NA,"auto"
12,2019-04-04 13:16:56,"PUCPR","HUCP","3403","S","Plantae","Monilofita",NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & L. Fisch.",NA,NA,NA,NA,NA,"Britez, RM","s.n.",NA,1986,"03","22",NA,NA,NA,"Brasil","Paraná","Paranaguá","Ilha do Mel, Reserva ecológica.",-48.5092010498047,-25.5200004577637,24916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUCP00000160","auto"
13,2019-04-04 13:16:56,"PUCPR","HUCP","10520","S","Plantae","Monilofita",NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & L. Fisch.","Labiak, P",1994,"06",NA,NA,"Labiak, P","109",NA,1994,"04","21",NA,NA,NA,"Brasil","Santa Catarina","Itapoá","Reserva Volta Velha",-48.6161003112793,-26.1168994903564,18121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UPCB Nº 25795.","HUCP00000241","auto"
14,2019-04-04 13:16:56,"PUCPR","HUCP","23828","S","Plantae","Monilofita",NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & L. Fisch.","Mazziero, FFF",2011,"12","15",NA,"Mazziero, FFF; Soller, A","838",NA,2011,"10","02",NA,NA,NA,"Brasil","São Paulo","Iporanga","Parque Estadual Turístico do Alto Ribeira, Núcleo Ouro Grosso.",-48.5900001525879,-24.5799999237061,38740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crescendo em local parcialmente ensolarado e úmido.","HUCP00000135","auto"
15,2019-02-22 18:28:13,"ESALQ","ESA","4475","S","Plantae","Magnoliophyta",NA,NA,"Polypodiaceae","Asplenium","serra",NA,"Asplenium serra",NA,NA,NA,NA,NA,NA,"Catharino, E.L.M.",NA,NA,1986,"09","06",NA,NA,NA,"Brasil","São Paulo","Iguape",NA,-47.5499992370605,-24.7000007629395,55628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA004475","auto"
16,2019-07-11 13:02:44,"ESALQ","ESA","139165","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Colletta, G.D","2684",NA,2016,"03","30",NA,NA,NA,"Brasil","SP","Cananéia","Ilha do Cardoso",-47.9199981689453,-25.0100002288818,37574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestre","ESA139165","auto"
17,2019-02-22 18:28:13,"ESALQ","ESA","4476","S","Plantae","Magnoliophyta",NA,NA,"Polypodiaceae","Asplenium","serra",NA,"Asplenium serra",NA,NA,NA,NA,NA,NA,"Catharino, E.L.M.",NA,NA,1985,"10","18",NA,NA,NA,"Brasil","São Paulo","Iguape",NA,-47.5499992370605,-24.7000007629395,55628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA004476","auto"
18,2019-07-11 13:15:10,"ESALQ","ESA","55082","S","Plantae","Pteridophyta",NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Salino, A.",2007,"04","20",NA,"Salino, A.","12013",NA,2007,"04","07",NA,NA,NA,"Brasil","Santa Catarina","Painel","Fazenda Farofa. Vegetação Secundária de Floresta Ombrófila Mista.",-50.1049995422363,-27.9288997650146,26535,NA,1358,1358,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestre. Interior de Mata","ESA055082","auto"
19,2019-07-11 13:15:10,"ESALQ","ESA","55080","S","Plantae","Pteridophyta",NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Salino, A.",2007,"04","20",NA,"Salino, A.","12011",NA,2007,"04","06",NA,NA,NA,"Brasil","Santa Catarina","Bocaína do Sul","Fazenda Farofa. Face Norte da Fazenda, depois do campo de altitude, na estrada do meio.",-49.9444007873535,-27.7444000244141,18696,NA,1317,1317,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestre, interior da mata.","ESA055080","auto"
20,2019-07-11 13:02:44,"ESALQ","ESA","140513","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Gissi, D.S.",NA,NA,NA,NA,"Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","148",NA,2016,"12","13",NA,NA,NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -",-44.7131004333496,-23.2178001403809,34470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erva. Pecíolo atropurpureo.","ESA140513","auto"
21,2019-07-29 19:06:42,"MN","R","644","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Smith, H.H.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2019-07-29 19:06:42,"MN","R","109570","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Wacket, M.",NA,NA,1904,"11",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Smithsonian Institution from The United States Nacional Herbarium",NA,NA
23,2019-07-29 19:06:42,"MN","R","121924","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"12","22",NA,"Lutz, B.M.J.",NA,NA,1947,"04",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herbarium Lutz nº 2378",NA,NA
24,2019-07-29 19:06:42,"MN","R","219373","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"12","22",NA,"Croat, T.B.","61847",NA,1986,"07","31",NA,NA,NA,"Brasil","Espírito Santo","Alfredo Chaves","São Bento de Urânia",-40.733333,-20.4,NA,NA,1040,1040,NA,NA,NA,NA,NA,NA,NA,NA,"Missouri Botanical Garden Herbarium",NA,NA
25,2019-07-29 19:06:42,"MN","R","219369","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Ramirez, G.",NA,NA,1884,NA,NA,NA,NA,NA,"Brasil","Petrópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb. J. de Saldanha",NA,NA
26,2019-07-29 19:06:42,"MN","R","219370","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,NA,NA,NA,1883,"03",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb. J. de Saldanha. Gabinete de Botânica da Escola Polytechnica nº 7390",NA,NA
27,2019-07-29 19:06:42,"MN","R","825","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Smith, H.H.","37",NA,NA,NA,NA,NA,NA,NA,"Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2019-07-29 19:06:42,"MN","R","219372","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Smith, L.B.; Reitz, R.","9793",NA,1957,"01","03",NA,NA,NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,700,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2019-07-29 19:06:42,"MN","R","223228","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L. S.",NA,NA,NA,NA,"Costa, T. V.; Lima, V. L.; Damasceno, E. R.; Mynssen, C. M. & Sylvestre, L. S.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Petrópolis/Guapimirim","Parque Nacional da Serra dos Órgãos",-43.03375,-22.461806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local rochoso, sombreado e úmido. Vegetação arbustiva, com poucas árvores.",NA,NA
30,2019-07-29 19:06:42,"MN","R","220782","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb. Amelia. Herb. J. de Saldanha nº 6415",NA,NA
31,2019-07-29 19:06:42,"MN","R","828","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,NA,NA,NA,1880,"01",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb. Amelia",NA,NA
32,2019-07-29 19:06:42,"MN","R","220785","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Morton, C.V. & Lellinger, D.B.",1964,"09",NA,NA,"Segadas-Vianna, F.","2836",NA,1951,"03",NA,NA,NA,NA,"Brasil","São Paulo","São José doBarreiro",NA,NA,NA,NA,NA,1600,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2019-07-29 19:06:42,"MN","R","220786","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Silveira, A.A.",NA,NA,1897,"04",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herbarium Silveira nº 27",NA,NA
34,2019-07-29 19:06:42,"MN","R","613","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Dusén, P.K.H.","240",NA,1902,"05","24",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,2200,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2019-07-29 19:06:42,"MN","R","830","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"06","05",NA,"Schreiner, R.",NA,NA,1878,NA,NA,NA,NA,NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,2019-07-29 19:06:42,"MN","R","833","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"06","05",NA,"Dusén, P.K.H.","2934",NA,1903,"12","22",NA,NA,NA,"Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2019-07-29 19:06:42,"MN","R","835","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"06","05",NA,"Dusén, P.K.H.","3083",NA,1904,"01","15",NA,NA,NA,"Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,2019-07-29 19:06:42,"MN","R","827","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"06","05",NA,"Regnell, A.F.",NA,NA,1847,"10","29",NA,NA,NA,"Brasil","Minas Gerais","Caldas",NA,-46.386100769043,-21.9235992431641,25710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ex herb. Brasil.Regnellian. Musei bot. Stockolm nº II 332",NA,"auto"
39,2019-07-29 19:06:42,"MN","R","220777","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"06","05",NA,"Damazio, L.B.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto",NA,-43.5080986022949,-20.2875003814697,44599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herbário L. Damazio nº 155",NA,"auto"
40,2019-07-29 19:06:42,"MN","R","29583","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Brade, A.C.",1935,NA,NA,NA,"Badini, J.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto",NA,-43.5080986022949,-20.2875003814697,44599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hervario de José Badini nº 1",NA,"auto"
41,2019-07-29 19:06:42,"MN","R","834","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"12","10",NA,"Dusén, P.K.H.","3769",NA,1904,"02","15",NA,NA,NA,"Brasil","Paraná","Ipiranga",NA,-50.5842018127441,-25.0238990783691,31827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
42,2019-07-29 19:06:42,"MN","R","220778","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"06","05",NA,"Barcia, J.C.C.","839",NA,1975,"12","12",NA,NA,NA,"Brasil","Rio de Janeiro","Petrópolis",NA,-43.1786003112793,-22.5049991607666,36524,NA,1050,1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
43,2019-07-29 19:06:42,"MN","R","220780","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"06","05",NA,"Barcia, J.C.C.","892",NA,1976,"01","15",NA,NA,NA,"Brasil","Rio de Janeiro","Petrópolis","Correas",-43.1786003112793,-22.5049991607666,36524,NA,1200,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
44,2019-07-29 19:06:42,"MN","R","37245","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Brade, A.C.",1943,NA,NA,NA,"Mello Filho, L.E.; Pessoa, O.F. & Gomes, A.L.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Teresópolis",NA,-42.9655990600586,-22.4122009277344,38539,NA,2100,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
45,2019-07-29 19:06:42,"MN","R","29917","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"06","05",NA,"Dutra, J.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio Grande do Sul","Guaporé","Pinhal Alto",-51.8903007507324,-28.8456001281738,14134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ex Herbario Florae Rio-Grandensis nº 64",NA,"auto"
46,2019-07-29 19:06:42,"MN","R","29916","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Dutra, J.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio Grande do Sul","Torres",NA,-49.7268981933594,-29.3353004455566,20837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herbarium Florae Rio-Grandensis nº 101",NA,"auto"
47,2019-07-29 19:06:42,"MN","R","645","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Sylvestre, L.S.",1998,"12","10",NA,"Schwacke, C.A.W.","44",NA,1884,NA,NA,NA,NA,NA,"Brasil","Santa Catarina","Blumenau",NA,-49.0661010742188,-26.9193992614746,34291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
48,2019-07-29 19:06:42,"MN","R","220783","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Smith, L.B.; Reitz, R.","9054",NA,1956,"12","22",NA,NA,NA,"Brasil","Santa Catarina","Porto União",NA,-51.0783004760742,-26.2381000518799,41804,NA,1100,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
49,2019-07-29 19:06:42,"MN","R","122021","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Lutz, A.","629",NA,1914,"01",NA,NA,NA,NA,"Brasil","Santa Catarina","São Bento do Sul",NA,-49.3786010742188,-26.2502994537354,23090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herbarium Lutz nº 629",NA,"auto"
50,2019-07-29 19:06:42,"MN","R","831","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,NA,"Schwacke, C.A.W.",NA,NA,1885,NA,NA,NA,NA,NA,"Brasil","Santa Catarina","São Bento do Sul",NA,-49.3786010742188,-26.2502994537354,23090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
51,2019-07-29 19:06:42,"MN","R","220779","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Santos, A.A.",1983,"02","06",NA,"Santos, E.A.A.","171",NA,1982,"11","06",NA,NA,NA,"Brasil","São Paulo","Campos do Jordão",NA,-45.5900001525879,-22.7299995422363,21048,NA,1600,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
52,2019-07-29 19:06:42,"MN","R","220781","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Santos, A.A.",1983,"02","06",NA,"Santos, E.A.A.","154",NA,1982,"10","23",NA,NA,NA,"Brasil","São Paulo","Campos do Jordão",NA,-45.5900001525879,-22.7299995422363,21048,NA,1600,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
53,2019-07-29 19:06:42,"MN","R","220784","S","Plantae",NA,NA,NA,"Aspleniaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.","Santos, A.A.",1983,"02","06",NA,"Santos, E.A.A.","21",NA,1982,"02","16",NA,NA,NA,"Brasil","São Paulo","Campos do Jordão",NA,-45.5900001525879,-22.7299995422363,21048,NA,1600,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"auto"
54,2016-02-02 16:38:58,"BGBM","B","B -W 19880 -01 0","S","Plantae",NA,NA,NA,"Polypodiaceae","Asplenium","serra",NA,"Asplenium serra","Langsd. & Fisch.",NA,NA,NA,NA,"isotype","Langsdorff","s.n.",NA,NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=\"http://herbarium.bgbm.org/object/BW19880010\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi> </a>","BW19880010",NA
